FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum,Corridor,Period,Order
54639, ,1310518114,1310518127,1310447311,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.437482601,2,0, ,                VA 267,38.90315,-77.18855,38.89959,-77.18333,                     E,273272,4326,1310518114,VA-267-S,AM,17
29246, ,1310361713,1310241822,1310217686,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,1.079794003,4,0, ,                I 495,38.96674,-77.18016,38.95589,-77.19336,                     S,246460,4326,1310361713,I-495-S,PM,1
29877, ,1310365816,1310298177,1310310908,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.411304233,4,0, ,                I 495,38.9623,-77.18606,38.96599,-77.18026,                     E,238908,4326,1310365816,I-495-S,PM,2
3470, ,1310217686,1310361713,1310564327,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.275435208,4,0, ,                I 495,38.95589,-77.19336,38.95239,-77.19577,                     S,246460,4326,1310217686,I-495-S,PM,3
62237, ,1310564327,1310217686,1310361728,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.911228426,4,0, ,                I 495,38.95239,-77.19577,38.94161,-77.20525,                     S,246460,4326,1310564327,I-495-S,PM,4
29248, ,1310361728,1310564327,1310361688,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.584045424,4,0, ,                I 495,38.94161,-77.20525,38.93423,-77.21042,                     S,1932475,4326,1310361728,I-495-S,PM,5
29238, ,1310361688,1310361728,1310283350,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.28022598,4,0, ,                I 495,38.93551,-77.20901,38.93265,-77.21268,                     S,1932475,4326,1310361688,I-495-S,PM,6
15801, ,1310283350,1310361688,1310564575,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.459286517,4,0, ,                I 495,38.93265,-77.21268,38.92631,-77.21447,                     S,1932475,4326,1310283350,I-495-S,PM,7
62264, ,1310564575,1310283350,1310361702,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.097952955,4,0, ,                I 495,38.92631,-77.21447,38.92496,-77.21498,                     S,1932475,4326,1310564575,I-495-S,PM,8
29243, ,1310361702,1310564575,1310361860,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.236295037,4,0, ,                I 495,38.92496,-77.21498,38.9218,-77.21667,                     S,1932475,4326,1310361702,I-495-S,PM,9
29266, ,1310361860,1310361702,1310341839,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.100034548,5,0, ,                I 495,38.9218,-77.21667,38.9204,-77.21712,                     S,1932475,4326,1310361860,I-495-S,PM,10
26098, ,1310341839,1310361860,1310361869,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.186038535,4,0, ,                I 495,38.9204,-77.21712,38.91773,-77.21761,                     S,1932475,4326,1310341839,I-495-S,PM,11
29267, ,1310361869,1310341839,1310361832,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.085258341,5,0, ,                I 495,38.91773,-77.21761,38.91651,-77.21781,                     S,1932475,4326,1310361869,I-495-S,PM,12
8826, ,1310246536,1310470980,1310470946,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.972508053,4,0,               HOV,                I 495,38.91651,-77.21781,38.90259,-77.21622,                     S,1929066,4326,1310246536,I-495-S,PM,13
29262, ,1310361832,1310361869,1310222458,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.972508053,4,0, ,                I 495,38.91651,-77.21781,38.90259,-77.21622,                     S,1932475,4326,1310361832,I-495-S,PM,14
4329, ,1310222458,1310361832,1310361845,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.770239302,5,0, ,                I 495,38.90259,-77.21622,38.89185,-77.21726,                     S,1932475,4326,1310222458,I-495-S,PM,15
29264, ,1310361845,1310222458,1310361808,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.409154289,4,0, ,                I 495,38.89185,-77.21726,38.88704,-77.22162,                     S,1932475,4326,1310361845,I-495-S,PM,16
29259, ,1310361808,1310361845, ,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.529383401,4.411,0, ,                I 495,38.88704,-77.22162,38.87953,-77.22176,                     S,1932475,4326,1310361808,I-495-S,PM,17
29260, ,1310361822,1310596894,1310278627,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.496966466,4.12,0, ,                I 495,38.88109,-77.2222,38.87401,-77.22055,                     S,1932475,4326,1310361822,I-495-S,PM,18
14889, ,1310278627,1310361822,1310285519,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.939985484,4,0, ,                I 495,38.87401,-77.22055,38.86041,-77.22035,                     S,1932475,4326,1310278627,I-495-S,PM,19
