FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegID_nu,Corridor,Period,order
30180,8903874,1310361845,1310222458,1310361808,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.44872942,0, ,               I 495,38.8922,-77.21705,38.88687,-77.22172,                    S,1256315,4326,1310361845,I-495-S,PM,18
30173,8903851,1310361808,1310361845,1310361822,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.406035005,0, ,               I 495,38.88687,-77.22172,38.88111,-77.22207,                    S,1256315,4326,1310361808,I-495-S,PM,19
30176,8903858,1310361822,1310361808,1310278627,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.532036656,0, ,               I 495,38.88109,-77.2222,38.87351,-77.2205,                    S,1256315,4326,1310361822,I-495-S,PM,20
13566,8846039,1310278627,1310361822,1310285519,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.904909081,0, ,               I 495,38.87351,-77.2205,38.86041,-77.22035,                    S,1256315,4326,1310278627,I-495-S,PM,21
49090,8976240,1310465140,1310445403,1310583894,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.43932186,0, ,               I 66,38.89181,-77.06276,38.89556,-77.06779,                    W,1256498,4326,1310465140,I-66-W,PM,1
71977,9057677,1310583894,1310465140,1310583857,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.074353277,0, ,               I 66,38.89559,-77.06779,38.89665,-77.068,                    N,1256498,4326,1310583894,I-66-W,PM,2
23401,8878963,1310324865,1310579121,1310471443,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.249666945,0, ,               I 66,38.89446,-77.06785,38.8918,-77.06505,                    S,1273092,4326,1310324865,I-66-W,PM,3
31821,8910022,1310370645, ,1310370609,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.511643253,0, ,               I 66,38.89665,-77.068,38.89866,-77.0763,                    W,1256498,4326,1310370645,I-66-W,PM,4
71023,9054365,1310579121,1310379888,1310324865,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.147867703,0, ,               I 66,38.89658,-77.06817,38.89446,-77.06785,                    S,1273092,4326,1310579121,I-66-W,PM,5
31817,8909998,1310370609,1310370645,1310483821,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.510947317,0, ,               I 66,38.89866,-77.0763,38.8976,-77.08504,                    W,1256498,4326,1310370609,I-66-W,PM,6
52441,8988988,1310483821,1310370609,1310483834,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.512494532,0, ,               I 66,38.8975,-77.08486,38.89779,-77.09406,                    W,1256498,4326,1310483821,I-66-W,PM,7
52444,8988997,1310483834,1310483821, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.510518571,0, ,               I 66,38.89779,-77.09406,38.89334,-77.10083,                    W,1256498,4326,1310483834,I-66-W,PM,8
