Point Attribute,Lat,Long,ID,Total Percent,AM Percent,PM Percent
Origin,39.0646,-75.48596166245726,131,0.000,0.000,0.000
Destination,38.74963963963964,-76.75116594155521,131,0.000,0.000,0.000
Origin,38.92981981981982,-77.01881603757707,132,0.034,0.034,0.035
Destination,37.98351891891892,-77.02644632431243,132,0.034,0.034,0.035
Origin,36.90243783783784,-75.3001552409644,133,3.193,3.802,2.632
Destination,38.74963963963964,-77.01758297077761,133,3.193,3.802,2.632
Origin,39.0646,-75.48596166245726,134,0.000,0.000,0.000
Destination,39.11,-77.02003774287316,134,0.000,0.000,0.000
Origin,39.0646,-78.65719,135,0.000,0.000,0.000
Destination,38.74963963963964,-77.284,135,0.000,0.000,0.000
Origin,36.90243783783784,-78.65719,136,0.000,0.000,0.000
Destination,38.74963963963964,-77.01758297077761,136,0.000,0.000,0.000
Origin,39.0646,-78.65719,137,0.000,0.000,0.000
Destination,38.92981981981982,-76.75363207515413,137,0.000,0.000,0.000
Origin,39.0646,-75.48596166245726,138,0.000,0.000,0.000
Destination,38.92981981981982,-77.01881603757707,138,0.000,0.000,0.000
Origin,37.98351891891892,-78.65719,139,0.000,0.000,0.000
Destination,38.92981981981982,-77.01881603757707,139,0.000,0.000,0.000
Origin,39.0646,-75.48596166245726,140,9.280,0.000,7.078
Destination,39.11,-76.75607548574631,140,9.280,0.000,7.078
Origin,39.11,-77.284,141,0.064,0.064,0.066
Destination,36.90243783783784,-75.3001552409644,141,0.064,0.064,0.066
Origin,39.11,-76.75607548574631,142,0.011,0.011,0.011
Destination,37.98351891891892,-77.02644632431243,142,0.011,0.011,0.011
Origin,38.74963963963964,-76.75116594155521,143,0.010,0.010,0.010
Destination,39.0646,-77.07157583122863,143,0.010,0.010,0.010
Origin,38.74963963963964,-76.75116594155521,144,0.002,0.002,0.002
Destination,39.0646,-75.48596166245726,144,0.002,0.002,0.002
Origin,39.11,-77.02003774287316,145,0.011,0.011,0.011
Destination,37.98351891891892,-75.39570264862486,145,0.011,0.011,0.011
Origin,38.92981981981982,-77.01881603757707,146,0.003,0.003,0.003
Destination,39.0646,-75.48596166245726,146,0.003,0.003,0.003
Origin,36.90243783783784,-76.9786726204822,147,0.001,0.001,0.001
Destination,38.92981981981982,-76.75363207515413,147,0.001,0.001,0.001
Origin,36.90243783783784,-75.3001552409644,148,1.790,0.0,1.067
Destination,39.11,-77.02003774287316,148,1.790,0.0,1.067
Origin,38.92981981981982,-77.284,149,0.014,0.014,0.014
Destination,36.90243783783784,-76.9786726204822,149,0.014,0.014,0.014
Origin,39.11,-77.284,150,0.002,0.002,0.002
Destination,37.98351891891892,-75.39570264862486,150,0.002,0.002,0.002
Origin,39.11,-77.284,151,0.002,0.002,0.002
Destination,39.0646,-78.65719,151,0.002,0.002,0.002
Origin,37.98351891891892,-77.02644632431243,152,0.002,0.003,0.002
Destination,38.74963963963964,-77.284,152,0.002,0.003,0.002
Origin,38.92981981981982,-76.75363207515413,153,0.013,0.013,0.013
Destination,36.90243783783784,-75.3001552409644,153,0.013,0.013,0.013
Origin,38.74963963963964,-77.01758297077761,154,0.006,0.006,0.006
Destination,39.0646,-77.07157583122863,154,0.006,0.006,0.006
Origin,37.98351891891892,-78.65719,155,0.000,0.000,0.000
Destination,38.92981981981982,-76.75363207515413,155,0.000,0.000,0.000
Origin,38.92981981981982,-76.75363207515413,156,0.016,0.016,0.017
Destination,39.0646,-77.07157583122863,156,0.016,0.016,0.017
Origin,39.0646,-77.07157583122863,157,0.005,0.005,0.006
Destination,38.74963963963964,-76.75116594155521,157,0.005,0.005,0.006
Origin,36.90243783783784,-78.65719,158,0.000,0.000,8.572
Destination,38.92981981981982,-76.75363207515413,158,0.000,0.000,8.572
Origin,36.90243783783784,-75.3001552409644,159,4.038,4.678,3.254
Destination,39.11,-76.75607548574631,159,4.038,4.678,3.254
Origin,39.11,-76.75607548574631,160,0.011,0.011,0.011
Destination,37.98351891891892,-75.39570264862486,160,0.011,0.011,0.011
Origin,38.74963963963964,-77.284,161,0.006,0.006,0.006
Destination,39.0646,-77.07157583122863,161,0.006,0.006,0.006
