Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%,total percent,Ranking
266,Destination,TRUE,38.92981982,-76.75363208,0.00239,0.002771,0.002117,0.512,
1075,Origin,TRUE,38.98900995,-77.12866827,0.002341,0.002277,0.002387,0.513,112
1075,Destination,TRUE,39.11,-77.02003774,0.002341,0.002277,0.002387,0.515,
83,Origin,TRUE,38.8415898,-77.12674972,0.00233,0.002249,0.002388,0.516,113
83,Destination,TRUE,38.74963964,-77.284,0.00233,0.002249,0.002388,0.517,
414,Origin,TRUE,38.8415898,-77.1992369,0.002319,0.002099,0.002477,0.518,114
414,Destination,TRUE,39.11,-77.02003774,0.002319,0.002099,0.002477,0.519,
444,Origin,TRUE,38.79244975,-77.12610696,0.002319,0.002595,0.002121,0.520,115
444,Destination,TRUE,38.74963964,-77.284,0.002319,0.002595,0.002121,0.521,
1696,Origin,FALSE,38.92981982,-77.01881604,0.00231,0.002053,0.002494,0.523,116
1696,Destination,FALSE,38.64502961,-76.97845713,0.00231,0.002053,0.002494,0.524,
12,Origin,TRUE,38.49760946,-77.41475541,0.002304,0.002238,0.002352,0.525,117
12,Destination,TRUE,38.92981982,-76.75363208,0.002304,0.002238,0.002352,0.526,
2492,Origin,TRUE,38.98900995,-77.05645517,0.002297,0.002214,0.002357,0.527,118
2492,Destination,TRUE,38.92981982,-77.01881604,0.002297,0.002214,0.002357,0.528,
2292,Origin,TRUE,38.98900995,-77.12866827,0.002291,0.002564,0.002094,0.530,119
2292,Destination,TRUE,38.92981982,-77.01881604,0.002291,0.002564,0.002094,0.531,
2562,Origin,TRUE,38.8415898,-77.1992369,0.002285,0.002137,0.002391,0.532,120
2562,Destination,TRUE,38.74963964,-77.01758297,0.002285,0.002137,0.002391,0.533,
316,Origin,TRUE,38.9398699,-77.05572614,0.00227,0.002049,0.002429,0.534,121
316,Destination,TRUE,39.11,-77.284,0.00227,0.002049,0.002429,0.535,
667,Origin,TRUE,38.89072985,-77.34457763,0.002247,0.00212,0.002337,0.536,122
667,Destination,TRUE,38.74963964,-77.01758297,0.002247,0.00212,0.002337,0.537,
1500,Origin,FALSE,38.92981982,-77.01881604,0.002217,0.001966,0.002397,0.539,123
1500,Destination,FALSE,38.54674951,-77.12286859,0.002217,0.001966,0.002397,0.540,
964,Origin,TRUE,38.89072985,-77.19978645,0.002195,0.001906,0.002402,0.541,124
964,Destination,TRUE,38.74963964,-77.01758297,0.002195,0.001906,0.002402,0.542,
582,Origin,TRUE,38.98900995,-77.05645517,0.002172,0.002046,0.002263,0.543,125
582,Destination,TRUE,39.11,-76.75607549,0.002172,0.002046,0.002263,0.544,
2379,Origin,FALSE,38.92981982,-77.01881604,0.002145,0.001882,0.002333,0.545,126
2379,Destination,FALSE,38.64502961,-77.3427365,0.002145,0.001882,0.002333,0.546,
2115,Origin,TRUE,38.89072985,-77.34457763,0.002138,0.002195,0.002098,0.547,127
2115,Destination,TRUE,38.92981982,-77.284,0.002138,0.002195,0.002098,0.548,
386,Origin,TRUE,38.74330971,-77.19813363,0.002129,0.002417,0.001922,0.549,128
386,Destination,TRUE,39.11,-77.02003774,0.002129,0.002417,0.001922,0.550,
329,Origin,TRUE,38.8415898,-77.34421127,0.002109,0.001864,0.002285,0.552,129
329,Destination,TRUE,38.74963964,-77.01758297,0.002109,0.001864,0.002285,0.553,
2237,Origin,TRUE,38.8415898,-77.34421127,0.002103,0.001873,0.002269,0.554,130
2237,Destination,TRUE,39.11,-77.284,0.002103,0.001873,0.002269,0.555,
1107,Origin,TRUE,38.98900995,-77.05645517,0.002097,0.002118,0.002083,0.556,131
1107,Destination,TRUE,38.92981982,-77.284,0.002097,0.002118,0.002083,0.557,
345,Origin,TRUE,38.89072985,-76.98259967,0.002087,0.001905,0.002218,0.558,132
345,Destination,TRUE,39.11,-77.284,0.002087,0.001905,0.002218,0.559,
1791,Origin,TRUE,38.89072985,-76.98259967,0.002084,0.001814,0.002279,0.560,133
1791,Destination,TRUE,38.74963964,-76.75116594,0.002084,0.001814,0.002279,0.561,
2197,Origin,TRUE,38.8415898,-77.12674972,0.002068,0.00201,0.002109,0.562,134
2197,Destination,TRUE,39.11,-77.284,0.002068,0.00201,0.002109,0.563,
2294,Origin,TRUE,38.8415898,-77.12674972,0.002059,0.002006,0.002098,0.564,135
2294,Destination,TRUE,38.92981982,-76.75363208,0.002059,0.002006,0.002098,0.565,
1916,Origin,TRUE,38.8415898,-77.05426254,0.002052,0.001974,0.002108,0.566,136
1916,Destination,TRUE,38.74963964,-77.284,0.002052,0.001974,0.002108,0.567,
1963,Origin,TRUE,38.89072985,-77.12739085,0.002043,0.001978,0.00209,0.568,137
1963,Destination,TRUE,38.74963964,-77.01758297,0.002043,0.001978,0.00209,0.569,
2064,Origin,TRUE,38.89072985,-77.12739085,0.002034,0.001952,0.002092,0.570,138
2064,Destination,TRUE,38.92981982,-76.75363208,0.002034,0.001952,0.002092,0.571,
1138,Origin,FALSE,38.92981982,-77.01881604,0.00201,0.001742,0.002203,0.572,139
1138,Destination,FALSE,38.89072985,-77.12739085,0.00201,0.001742,0.002203,0.573,
155,Origin,FALSE,38.92981982,-77.01881604,0.002,0.001772,0.002163,0.574,140
155,Destination,FALSE,38.69416966,-77.1975799,0.002,0.001772,0.002163,0.575,
1501,Origin,TRUE,38.9398699,-77.12803037,0.001981,0.001839,0.002082,0.576,141
1501,Destination,TRUE,39.11,-77.02003774,0.001981,0.001839,0.002082,0.577,
1741,Origin,FALSE,38.92981982,-77.01881604,0.001975,0.001736,0.002147,0.578,142
1741,Destination,FALSE,38.69416966,-76.9065265,0.001975,0.001736,0.002147,0.579,
1919,Origin,FALSE,38.92981982,-77.01881604,0.001951,0.001706,0.002127,0.580,143
1919,Destination,FALSE,38.79244975,-76.90836995,0.001951,0.001706,0.002127,0.581,
74,Origin,TRUE,38.74330971,-77.19813363,0.001941,0.0022,0.001754,0.582,144
74,Destination,TRUE,39.11,-76.75607549,0.001941,0.0022,0.001754,0.583,
2018,Origin,TRUE,38.98900995,-77.34530758,0.001937,0.001978,0.001908,0.584,145
2018,Destination,TRUE,38.92981982,-77.01881604,0.001937,0.001978,0.001908,0.585,
1131,Origin,TRUE,38.98900995,-77.34530758,0.001936,0.002174,0.001766,0.586,146
1131,Destination,TRUE,38.74963964,-77.01758297,0.001936,0.002174,0.001766,0.587,
363,Origin,FALSE,38.92981982,-77.01881604,0.001897,0.001639,0.002083,0.588,147
363,Destination,FALSE,38.64502961,-77.26988063,0.001897,0.001639,0.002083,0.589,
283,Origin,TRUE,38.54674951,-77.34199348,0.001891,0.001913,0.001875,0.590,148
283,Destination,TRUE,38.92981982,-77.01881604,0.001891,0.001913,0.001875,0.591,
1851,Origin,TRUE,38.79244975,-77.19868597,0.001886,0.001881,0.001889,0.592,149
1851,Destination,TRUE,38.92981982,-77.284,0.001886,0.001881,0.001889,0.593,
2309,Origin,TRUE,38.9398699,-77.05572614,0.00188,0.001687,0.002018,0.594,150
2309,Destination,TRUE,39.11,-76.75607549,0.00188,0.001687,0.002018,0.594,
760,Origin,TRUE,38.9398699,-77.34494307,0.001875,0.001474,0.002164,0.595,151
760,Destination,TRUE,38.74963964,-76.75116594,0.001875,0.001474,0.002164,0.596,
